1786739102.072473000	Firefox	AC Power
1786739102.759132000	Firefox	AC Power
1786739103.445014000	Firefox	AC Power
1786739104.108083000	Firefox	AC Power
1786739104.810574000	Firefox	AC Power
1786739105.471441000	Firefox	AC Power
1786739106.114947000	Firefox	AC Power
1786739106.779103000	Firefox	AC Power
1786739107.464345000	Firefox	AC Power
1786739108.169668000	Firefox	AC Power
1786739108.863449000	Firefox	AC Power
1786739109.525391000	Firefox	AC Power
1786739110.196829000	Firefox	AC Power
1786739110.886388000	Firefox	AC Power
1786739111.568257000	Firefox	AC Power
1786739112.258502000	Firefox	AC Power
1786739112.959753000	Firefox	AC Power
1786739113.662755000	Firefox	AC Power
1786739114.341223000	Firefox	AC Power
1786739115.029168000	Firefox	AC Power
1786739115.708482000	Firefox	AC Power
1786739116.404415000	Firefox	AC Power
1786739117.100380000	Firefox	AC Power
1786739117.804473000	Firefox	AC Power
1786739118.481565000	Firefox	AC Power
1786739119.175241000	Firefox	AC Power
1786739119.884441000	Firefox	AC Power
1786739120.582129000	Firefox	AC Power
1786739121.282164000	Firefox	AC Power
1786739121.935308000	Firefox	AC Power
1786739122.603958000	Firefox	AC Power
1786739123.299654000	Firefox	AC Power
1786739124.001173000	Firefox	AC Power
1786739124.696459000	Firefox	AC Power
1786739125.399165000	Firefox	AC Power
1786739126.083173000	Firefox	AC Power
1786739126.789441000	Firefox	AC Power
1786739127.478308000	Firefox	AC Power
1786739128.172993000	Firefox	AC Power
1786739128.875404000	Firefox	AC Power
1786739129.570539000	Firefox	AC Power
1786739130.267307000	Firefox	AC Power
1786739130.959771000	Firefox	AC Power
1786739131.670026000	Firefox	AC Power
1786739132.364311000	Firefox	AC Power
1786739133.075086000	Firefox	AC Power
1786739133.769522000	Firefox	AC Power
1786739134.450141000	Firefox	AC Power
1786739135.132792000	Firefox	AC Power
1786739135.832908000	Firefox	AC Power
1786739136.543146000	Firefox	AC Power
1786739137.246166000	Firefox	AC Power
1786739137.937648000	Firefox	AC Power
1786739138.629487000	Firefox	AC Power
1786739139.331788000	Firefox	AC Power
1786739140.015895000	Firefox	AC Power
1786739140.716880000	Firefox	AC Power
1786739141.403543000	Firefox	AC Power
